time_key,open,close,high,low,volume
2016-03-16,106.54,106.711,106.73,106.531,19810.0
2016-03-17,106.72,106.71,106.809,106.687,28769.0
2016-03-18,106.69,106.709,106.752,106.64,33573.0
2016-03-21,106.66,106.604,106.7,106.542,27834.0
2016-03-22,106.61,106.72,106.755,106.61,24236.0
2016-03-23,106.715,106.84,106.9,106.69,22554.0
2016-03-24,106.85,107.084,107.09,106.84,19296.0
2016-03-25,107.11,107.205,107.27,107.06,36019.0
2016-03-28,107.195,107.247,107.88,107.192,11570.0
2016-03-29,107.214,107.289,107.476,107.21,15087.0
2016-03-30,107.29,107.35,107.385,107.278,24566.0
2016-03-31,107.37,107.32,107.439,107.22,8272.0
2016-04-01,107.379,107.632,107.649,107.319,3080.0
2016-04-05,107.633,107.468,107.739,107.418,15761.0
2016-04-06,107.493,107.5,107.531,107.451,8712.0
2016-04-07,107.5,107.413,107.569,107.4,12236.0
2016-04-08,107.39,107.41,107.463,107.381,36383.0
2016-04-11,107.4,107.413,107.439,107.38,3199.0
2016-04-12,107.397,107.386,107.431,107.37,12128.0
2016-04-13,107.343,107.198,107.377,107.19,11174.0
2016-04-14,107.193,107.04,107.264,106.945,13400.0
2016-04-15,107.087,107.034,107.087,106.975,16534.0
2016-04-18,107.034,107.104,107.151,107.034,3405.0
2016-04-19,107.105,107.15,107.174,107.105,17107.0
2016-04-20,107.115,107.019,107.13,106.984,10353.0
2016-04-21,106.886,106.543,106.888,106.465,4936.0
2016-04-22,106.561,106.515,106.591,106.494,5412.0
2016-04-25,106.477,105.92,106.477,105.91,5691.0
2016-04-26,105.92,106.089,106.1,105.897,16841.0
2016-04-27,106.086,106.187,106.238,106.084,20562.0
2016-04-28,106.239,106.534,106.535,106.239,5093.0
2016-04-29,106.534,106.579,106.59,106.52,68825.0
2016-05-03,106.581,106.642,106.642,106.58,20076.0
2016-05-04,106.63,106.62,106.674,106.59,7275.0
2016-05-05,106.635,106.693,106.7,106.635,12321.0
2016-05-06,106.689,106.623,106.689,106.543,9870.0
2016-05-09,106.626,106.711,106.804,106.626,5542.0
2016-05-10,106.766,106.872,106.885,106.766,13103.0
2016-05-11,106.879,106.937,106.948,106.879,8902.0
2016-05-12,106.927,107.132,107.133,106.915,3134.0
2016-05-13,106.989,107.194,107.216,106.989,8445.0
2016-05-16,107.179,106.916,107.315,106.89,7538.0
2016-05-17,106.897,106.934,107.018,106.897,19671.0
2016-05-18,106.932,106.822,106.94,106.79,16192.0
2016-05-19,106.771,106.725,106.801,106.671,9698.0
2016-05-20,106.715,106.87,106.876,106.715,4385.0
2016-05-23,106.734,106.776,106.934,106.733,8129.0
2016-05-24,106.75,106.789,106.8,106.735,1835.0
2016-05-25,106.784,106.843,106.863,106.761,9666.0
2016-05-26,106.833,106.773,106.833,106.736,2619.0
